name,viaf,wiki,pages
Aagaard Christianus,310509088,Q924836,273
Abad Didacus,46805419,Q1220481,"297,298"
Abel Michael,62618473,Q1926739,"182,183"
Abraham Ecchellensis,,Q329959,325
"Abrami, Thomas de",,,101
Acernus: see Clonovius,,,
"Acevedo, Petrus P. de",43474977,Q55992594,108
Acidalius Valens,66563886,Q66909,"61,182,199"
Ackermann Johannes C.T.,,,192
Acosta Josephus,2465365,Q555476,"111,301"
Adolph Johannes Bapt.,,,186
Älf Samuel,17201320,Q6254347,278
Aegidius Viterbiensis,62342111,Q380652,120
Aeneas Habspurgus (novel),,,216
Aeneas Silvius Piccolomineus,307174275,Q101437,"25,30,42,57,58,74,77,83,85,86,91,131,136,178,179 191,210,240,274"
Aepinus (Hoch) Franciscus,313483192,Q94937211,255
Aeschylus,,Q40939,"3,14,93"
Aesopus,,Q43423,3
Aesticampianus Joannes,41271419,Q107183,182
Agathopedius Lucas,313483192,Q94937211,97
Aggaeus Fridericus,45149109,,260
Agricola Georgius,100164815,Q76579,192
"Agricola Rudolfus, Frisius",,Q365557,"83,109,149,178,180,182"
"Agricola Rudolfus, Rhaetus",,Q15901921,"83,170,178"
Agrippa de Nettesheim Henricus,,Q76568,130
Aicher Otto,88675904,Q15631735,186
Aixalà Hieronymus,35157340572209920866,,316
Alabaster William,34590507,Q3319086,166
Alapy: see Halapi,,,
Albanus Augustus,81379245,Q760785,261
Alberti Henricus,,,273
Albertus Leo Baptista,,Q182046,"45,57,104"
"Albrecht, Michael von",106962295,Q67518,186
Alciatus Andreas,,Q464471,"61,129"
Alecsandri Vasile,,,226
"Alegre Franciscus X.,",19758123,Q2060582,"297,298"
"Alembert, J. d'",,,47
Aler Paulus,46815703,Q552883,177
Alexander VII (= Fabio Chigi = Philomatus),89775498,Q127254,"63,153,172"
Alexander Aphrodisiensis,,,4
Alexander de Villa Dei,,Q692413,"55,150"
Alexicachos Hercules F.,5149717414810951680,,"84,85"
Alfonsus Hispanus (de Palencia?),,,104
Al-Hassan ibn Mohammed al-Wazzan: see Leo Africanus,,,
Allatius (Allacci) Leo,,Q725712,"85,86,325"
Alpinus Prosper,,Q538065,313
Aithusius Johannes,,,191
Altilius Gabriel,19636924,Q3756530,58
Alvarez Emmanuel,,Q3844794,"119,122,320"
"Amaral, Prudentius de",68031250,Q94575111,308
Amasaeus Romulus,,Q3940905,29
Ambrosius,,Q43689,230
Amerbach Johannes,84748673,Q69342,"206,210,211,213"
Amerio Romano,7416416,Q1310668,206
Ammonius Andreas,77136743,Q3615677,165
Amo A.G.,,Q595486,"311,312"
Anacreon,,Q213484,"154,169"
"Anchieta, Josephus de",17244299,Q317126,308
"Andrade, Jéronimo E. der",,,124
"Andreae, Johannes Valentinus",93141184,Q60854,191
Andreas Bernardus,,,"30,165"
Andreas Dominicus,,,106
Andrelinus Faustus,,Q3067464,"83,129,134,135,168"
Andronicus Tranquillus,22294763,Q16115490,"92,93,100"
Anglerius: see Martyr.,,,
Anonymus Cosmopolitanus: see Miñana J.E.,,,
Anonymus aulicus Transylvanus,,,291
Anonymus Ilihlbacensis,,,224
Anthologie Graeca,,,"4,78"
Antlthemius,,,244
Antoninus Johannes,,,234
Antonius Astesanus,,Q3619193,140
Antonius Nicolaus,,Q541378,113
Antonius Rhaudensis (da Rho),65524219,Q3620366,10
Anysius Janus,57152636163120103424,,58
Aphthonius,,,4
Apicius,191439325,Q117841,4
Apollonius Rhodius,,,4
Appendinus Franciscus M.,,,93
Appendinus Urbanus,,,93
Apuleius,32115433,Q170512,"4,32,189"
Aquilina A.S.,,,103
"Aquino, Carolus d'",59424781,Q21543924,64
Arator,,,4
Arcamone Ignatius,99922191,,"125,316"
Archdekin Richard,,,172
Archius Nicolaus,59996492,,30
"Arckel, Cornelius van",29960280,,7
Arcudius Petrus,,Q3903655,85
Arena Antonius,,Q2857526,145
Argentein Johannes,,Q6219350,165
Argyropulus Johannes,27074978,Q26648,87
Arioso Orazio,,,275
Ariosto Ludovico,71386455,Q48900,"29,45,58,107,108"
Aństophanes,,,4
Aristoteles,7524651,Q868,"5,14,85,112,123,124,312"
(Pseudo-) Aristoteles,,Q1783131,5
Armaforte Emmanuel,,,67
Arquer Sigismundus,3269572,Q3782346,67
Arrianus,,,209
Artiotus Michael,,,89
Arundinensis Johannes,263385553,Q55133344,246
Asclepius,,,4
"Assumpção, Joseph de",,,123
Astesanus: see Antonius.,,,
Athenaeus,,,312
Atrocianus Johannes,,,207
"Aubigné, Agrippa d'",56605227,Q334950,145
Audebertus Germanus,,,61
Audoenus: see Owen.,,,
"Augières, Albertus d'-",89029112,,138
Augustinus (Agustin) Antonius,,Q2535060,"111,116"
"Augustinus , Aurelius",,Q8018,"1,5,124,312"
Augustinus Moravus / Olomucensis,63369636,,"229,230"
Auratus (Dorat) Johannes,12307479,Q714921,"135,139"
Aurelius Cornelius,,Q2620215,150
Auriga: see Chartier.,,,
Ausonius,109786483,Q234593,"5,60"
Avancinus Nicolaus,,Q3340050,183
Avellanus Arcadius,89239495,Q4785199,"218,292"
"Avendaño, Didacus de",10065850,Q8471013,"301,306"
Aventinus Johannes,,Q61140,190
Avitus Alcimus,,,312
Αyllόn Joachim,,,301
Aymerichus Matthaeus,47101129,Q6005837,"47,48"
Ayto(u)n Robertus,,,169
Bacherus Jodocus,,,277
Bacon Franciscus,,Q37388,"164,166,302"
Badham Charles,,Q5075357,326
Badianus Johannes,,,299
Badin Stephen Th.,10091535,Q3592052,292
"Badius Ascensius, Jodocus",44352439,Q942766,130
"Baer, Karl E. von",,Q57190,"255,261"
Baiào Andreas,16539733,Q110137083,316
Balbinus Bohuslaus,,Q710504,232
Balbus Hieronymus,8092156012392249700005,Q673596,"83,129,134"
Balde Jacobus,36914132,Q65850,"10,20,23,183,186,200,204"
Balduinus Franciscus,,Q5493177,133
Balli Johannes Baptista,28656096,,298
"Balzac, Guez de",,,"127,132"
Bandellus Matthaeus,22150523,Q19054,"61,130"
Bando HenricusL.N.,,,250
Bing Petrus,,,276
Baptista (Spagnuoli) Mantuanus,27059664,Q810973,"32,59,153,268"
Barbarigo Gregorio,,,77
Barbarus Hermolaus,54942062,Q1236821,"83,88"
Barberini Matteo: see Urbanus VIII,,,
Barberius-Vèmars Josephus Nic.,,,113
Barbosa Aires,,,118
Barbu Nicolau,15981700,Q110089754,226
Barclaius Johannes,30425,Q1699269,"32,39,131,132,137,168,169,184"
Bardhi Fr.: see Blanchus Fr.,,,
Barcaeus Gaspar,,,"269,309"
Barletus Marinus,,Q464230,"88,89,90"
Baronius Bonàventura,198817134,,172
Baronius Caesar,17326794,Q317900,"62,190"
"Barros, Johannes de",17235538,Q703704,125
Barthius Gaspar,15563174,Q76182,"106,183,189,199"
Bartholdus Georgius,,,230
Bartholomaeus Francofordinus,,,217
Bartoli Alfredo,39773191,Q3611340,"65,102"
Bartolinus Caspar,20555797,Q264593,268
Bartolinus Caspar,66581681,Q537984,"265,268"
Bartolinus Thomas,27864975,Q365909,268
Barzaeus Johannes,52794843,Q1697218,207
Barzizza Gaspar,79253953,Q1236187,"56,97"
Basilius Magnus,,,5
Basilius Leonardus,,,225
Basinius Basinii,47108359,Q810182,"4,58"
Basinus Thomas,89665967,Q3524892,"128,131"
Baudelaire Charles,17218730,Q501,29
Baudius Dominicus,,,149
